,First Rand,Investec Group,MTN Group,Aveng Limited
2011-06-13,1962.0,3124.052490234375,13854.0,1513.9957275390625
2011-06-14,1956.0,3125.765380859375,13795.0,1532.569580078125
2011-06-15,1940.0,3088.65576171875,13626.0,1473.39208984375
2011-06-16,1940.0,3088.65576171875,13698.58984375,1473.39208984375
2011-06-17,1938.0,3023.00048828125,13595.0,1488.9423828125
2011-06-20,1924.0,3002.447509765625,13615.0,1475.9837646484375
2011-06-21,1935.0,3037.273193359375,13680.0,1501.037109375
2011-06-22,1910.0,3020.14599609375,13410.0,1498.013427734375
2011-06-23,1884.0,2994.45458984375,13540.0,1468.640625
2011-06-24,1921.0,3004.731201171875,13710.0,1488.5103759765625
2011-06-27,1902.0,2990.458251953125,14133.0,1504.49267578125
2011-06-28,1934.0,3054.40087890625,14050.0,1537.7530517578125
2011-06-29,1982.0,3111.492431640625,14280.0,1545.5281982421875
2011-06-30,1985.0,3134.3291015625,14390.0,1546.39208984375
2011-07-01,1980.0,3180.00244140625,14429.0,1563.6702880859375
2011-07-04,1979.0,3165.7294921875,14480.0,1572.309326171875
2011-07-05,2020.0,3214.25732421875,14694.0,1593.0430908203125
2011-07-06,2020.0,3185.140625,14398.0,1580.9483642578125
2011-07-07,2005.0,3207.977294921875,14400.0,1576.62890625
2011-07-08,1950.0,3191.420654296875,14040.0,1587.427734375
2011-07-11,1940.0,3122.910888671875,14075.0,1580.9483642578125
2011-07-12,1940.0,3128.619873046875,14220.0,1550.2796630859375
2011-07-13,1945.0,3162.875,14411.0,1555.03125
2011-07-14,1970.0,3157.165771484375,14533.0,1574.037109375
2011-07-15,1976.0,3162.875,14650.0,1587.427734375
2011-07-18,1947.0,3111.492431640625,14280.0,1574.037109375
2011-07-19,1960.0,3122.910888671875,14401.0,1567.98974609375
2011-07-20,1971.0,3156.02392578125,14390.0,1555.03125
2011-07-21,1979.0,3212.544677734375,14470.0,1555.03125
2011-07-22,1951.0,3195.988037109375,14400.0,1555.03125
2011-07-25,1980.0,3120.05615234375,14550.0,1548.98388671875
2011-07-26,1959.0,3109.208740234375,14450.0,1550.711669921875
2011-07-27,1960.0,3085.80126953125,14117.0,1555.03125
2011-07-28,1950.0,3033.27685546875,14431.0,1555.03125
2011-07-29,1927.0,3015.57861328125,14490.0,1545.5281982421875
2011-08-01,1953.0,2960.19970703125,14650.0,1521.770751953125
2011-08-02,1922.0,2917.951904296875,14569.0,1528.2501220703125
2011-08-03,1898.0,2860.289306640625,14149.0,1529.114013671875
2011-08-04,1837.0,2746.106201171875,13400.0,1506.6524658203125
2011-08-05,1867.0,2740.39697265625,13537.0,1440.1317138671875
2011-08-08,1790.0,2654.759521484375,13213.0,1485.0548095703125
2011-08-09,1823.8199462890625,2654.759521484375,13368.4697265625,1485.0548095703125
2011-08-10,1806.0,2626.2138671875,12980.0,1455.25
2011-08-11,1881.0,2726.1240234375,13500.0,1503.19677734375
2011-08-12,1917.0,2752.957275390625,13678.0,1462.1612548828125
2011-08-15,1936.0,2769.513671875,13929.0,1464.321044921875
2011-08-16,1917.0,2727.265869140625,13695.0,1440.99560546875
2011-08-17,1937.0,2713.56396484375,13700.0,1447.9068603515625
2011-08-18,1900.0,2580.54052734375,13298.0,1399.528076171875
2011-08-19,1927.0,2623.359130859375,13770.0,1406.0074462890625
2011-08-22,1949.0,2610.22802734375,13604.0,1421.9896240234375
2011-08-23,1901.0,2660.46875,13525.0,1376.6346435546875
2011-08-24,1937.0,2711.851318359375,13725.0,1404.279541015625
2011-08-25,1931.0,2649.05029296875,13528.0,1425.4453125
2011-08-26,1930.0,2710.70947265625,13588.0,1425.4453125
2011-08-29,2018.0,2818.04150390625,13899.0,1421.9896240234375
2011-08-30,1993.0,2747.248046875,14016.0,1425.4453125
2011-08-31,2004.0,2825.46337890625,14334.0,1463.025146484375
2011-09-01,2046.0,2848.87109375,14586.0,1439.69970703125
2011-09-02,2008.0,2788.35400390625,14200.0,1429.7647705078125
2011-09-05,2002.0,2736.971435546875,14064.0,1454.3861083984375
2011-09-06,1943.0,2691.869140625,13988.0,1442.723388671875
2011-09-07,2004.0,2762.091796875,14403.0,1447.0428466796875
2011-09-08,2049.0,2791.20849609375,14489.0,1457.841796875
2011-09-09,2058.0,2779.790283203125,14324.0,1456.9779052734375
