Time	Open	High	Low	Close	Volume
2019-01-21 20:00:00	78.487	78.521	78.424	78.513	17138
2019-01-22 00:00:00	78.512	78.526	78.106	78.121	23698
2019-01-22 04:00:00	78.12	78.158	77.933	77.987	21444
2019-01-22 08:00:00	77.989	78.073	77.886	77.968	23892
2019-01-22 12:00:00	77.969	78.149	77.903	78.101	29412
2019-01-22 16:00:00	78.101	78.15	77.735	77.795	28912
2019-01-22 20:00:00	77.796	77.946	77.756	77.873	18993
2019-01-23 00:00:00	77.873	78.331	77.872	78.276	28675
2019-01-23 04:00:00	78.278	78.313	78.189	78.214	22400
2019-01-23 08:00:00	78.214	78.367	78.112	78.286	22630
2019-01-23 12:00:00	78.286	78.417	78.175	78.193	34619
2019-01-23 16:00:00	78.196	78.289	78.027	78.27	30179
2019-01-23 20:00:00	78.27	78.299	78.166	78.254	18107
2019-01-24 00:00:00	78.253	78.54	77.974	77.996	32230
2019-01-24 04:00:00	77.995	78.013	77.815	77.861	19614
2019-01-24 08:00:00	77.862	77.908	77.779	77.87	26043
2019-01-24 12:00:00	77.87	77.994	77.639	77.832	46403
2019-01-24 16:00:00	77.833	77.93	77.637	77.735	30381
2019-01-24 20:00:00	77.735	77.785	77.509	77.721	19249
2019-01-25 00:00:00	77.721	78.115	77.613	78.074	30731
2019-01-25 04:00:00	78.072	78.08	77.842	77.948	22046
2019-01-25 08:00:00	77.949	78.149	77.867	78.147	24153
2019-01-25 12:00:00	78.147	78.684	78.081	78.587	53787
2019-01-25 16:00:00	78.588	78.834	78.538	78.693	28829
2019-01-25 20:00:00	78.695	78.718	78.586	78.605	10136
2019-01-27 20:00:00	78.608	78.704	78.536	78.54	7808
2019-01-28 00:00:00	78.54	78.76	78.481	78.753	31585
2019-01-28 04:00:00	78.753	78.823	78.536	78.622	21820
2019-01-28 08:00:00	78.62	78.655	78.521	78.533	21526
2019-01-28 12:00:00	78.534	78.567	78.248	78.318	31667
2019-01-28 16:00:00	78.318	78.435	78.195	78.355	24480
2019-01-28 20:00:00	78.353	78.412	78.224	78.293	21647
2019-01-29 00:00:00	78.292	78.331	77.963	78.253	28856
2019-01-29 04:00:00	78.253	78.397	78.194	78.21	19489
2019-01-29 08:00:00	78.21	78.484	78.195	78.425	22875
2019-01-29 12:00:00	78.424	78.447	78.101	78.166	33484
2019-01-29 16:00:00	78.165	78.296	78.112	78.113	25597
2019-01-29 20:00:00	78.111	78.322	78.105	78.315	20795
2019-01-30 00:00:00	78.314	78.701	78.207	78.664	28954
2019-01-30 04:00:00	78.664	78.711	78.583	78.677	23693
2019-01-30 08:00:00	78.676	78.811	78.608	78.776	33213
2019-01-30 12:00:00	78.775	78.851	78.687	78.812	34761
2019-01-30 16:00:00	78.812	79.285	78.758	79.193	39849
2019-01-30 20:00:00	79.193	79.193	78.907	79.048	25157
2019-01-31 00:00:00	79.047	79.152	78.892	79.125	30217
2019-01-31 04:00:00	79.123	79.144	78.947	79.045	26081
2019-01-31 08:00:00	79.044	79.091	78.871	79.054	43107
2019-01-31 12:00:00	79.053	79.394	78.911	79.342	39115
2019-01-31 16:00:00	79.34	79.392	79.021	79.096	28140
2019-01-31 20:00:00	79.096	79.239	79.023	79.152	16420
2019-02-01 00:00:00	79.15	79.309	78.733	78.812	30527
